"","robbbPerPop","pctWhite","kidsBornNevrMarr","pctKidsBornNevrMarr","pctUsePubTrans","pctBlack","pctKids2Par","pctFemDivorc","numForeignBorn","pctAllDivorc","pctForeignBorn","pct2Par","popDensity","pct12.17w2Par","persUrban","pctMaleDivorc","pctImmig.10"
"1",8.2,91.78,31,0.36,9.63,1.37,90.17,5.22,1277,4.47,10.66,91.43,1845.9,95.81,11980,3.67,3.3
"2",21.26,95.57,43,0.24,3.84,0.8,85.33,6.45,1920,5.42,8.3,86.91,2186.7,86.46,23123,4.23,1.87
"3",154.95,94.33,164,0.88,4.37,0.74,78.85,14.76,1468,12.55,5,78.54,2780.9,75.72,29344,10.1,1.78
"4",57.86,97.35,561,3.84,3.31,1.7,62.36,14.47,339,12.91,2.04,64.02,3217.7,67.43,0,10.98,0.31
"5",32.04,89.16,402,4.7,0.38,0.53,55.2,11.64,196,9.73,1.74,58.59,974.2,79.17,0,7.51,1.22
"6",90.05,95.65,1511,1.58,0.97,2.51,69.79,14.46,2091,13.04,1.49,71.94,1995.7,75.33,140494,11.4,0.68
"7",30.44,96.57,263,1.18,9.62,1.6,79.76,9.06,2637,7.64,9.19,79.53,2643.5,77.12,28700,5.97,2.55
"8",160.8,84.87,2368,4.66,0.7,14.2,58.7,16.33,517,14.94,0.87,62.56,1515.3,62.76,59449,13.28,0.29
"9",20.05,97.11,751,1.64,1.41,0.35,79.7,9.94,1474,8.64,1.99,79.35,2399.3,80.7,74115,7.29,1.07
"10",419.89,67.6,3537,4.71,0.76,23.14,54.56,14.66,4793,12.97,4.63,61.65,1319.3,61.69,103590,11.07,2.31
"11",220.96,83.22,603,2.47,0,12.63,64.64,15.26,938,13.53,2.97,68.41,816.1,70.94,31596,11.48,1.94
"12",1143.81,49.42,1479,7.44,11.22,21.34,56.36,18.96,6645,16.57,26.41,58.06,9387.3,57.16,25158,13.91,16.46
"13",126.52,86.39,996,3.56,0.28,12.18,60.7,13.43,626,11.95,1.54,64.6,1354.2,67.77,0,10.16,0.92
"14",444.61,45.65,4401,8.51,0.93,53.52,50.22,14.18,407,12.74,0.71,58.65,1301.5,59.7,57140,10.92,0.28
"15",0,99.21,100,0.87,0.08,0.06,81.44,8.37,119,7.32,0.91,79.99,1481.2,85.51,0,6.08,0.24
"16",79.7,94.39,666,2.71,3.35,2.52,76.9,11.14,812,9.75,2.62,76.68,1724.8,81.49,30954,8.23,0.92
"17",50.46,95.72,413,1.3,1.28,2.65,79.92,9.76,2377,8.38,5.22,81.96,1314.3,80.39,43944,7.02,1.41
"18",197.91,74.02,3034,2.62,4.15,1.3,74.78,13.33,81352,11.12,45.19,77.1,5677.3,79.01,180038,8.68,27.29
"19",66.18,94.74,86,0.74,1.96,2.28,82.05,11.09,704,8.64,4.73,82.5,2552.7,78,14882,5.73,1.37
"20",242.88,82.64,2898,1.89,0.14,8.41,75.99,14.79,20006,12.77,7.64,78.19,2716.3,76.69,261763,10.73,4.35
"21",21.41,95.66,407,1.31,2.64,1.61,86.12,10.17,1330,9.09,2.61,85.61,1491.7,87.45,50889,7.99,0.96
"22",1174.95,52.26,527557,10.5,54.33,28.71,52.24,14.02,2082931,11.77,28.45,57.64,22878.2,59.25,7322564,9.13,13.02
"23",270.79,53.6,258,1.69,1.93,18.97,77.88,11.83,4849,9.33,18.34,80.12,2917.9,78.19,26436,7.15,7.91
"24",0,97.55,160,1.78,0.75,0.41,72.56,13.85,376,11.94,3.09,74.41,291.4,77.2,0,9.73,1.17
"25",105.48,83.94,167,1.41,0.58,13.79,72.98,13.36,742,11.99,4.63,77.22,1581.4,75.63,16023,10.45,1.1
"26",32.42,97.72,173,0.89,0,0.06,76.61,13.38,354,11.54,1.43,78.73,1073.9,85.57,0,9.43,0.43
"27",160.6,94.65,27,0.32,1.11,0.41,77.07,15.57,703,12.8,5.08,78.29,3697.1,86.93,13842,9.63,1.53
"28",260.94,87.36,2000,3.29,2.17,2.92,63.25,19.09,8610,16.22,9.71,65.86,5943,65.85,88693,13.12,4.87
"29",21.86,82.45,183,1.84,0.09,1.89,73.66,13.25,695,12.15,6.19,75.49,1189.1,76.77,0,10.96,2.47
"30",434.25,56.94,2412,9.54,0.1,42.15,51.11,16.28,187,14.22,0.66,60.12,1900.7,61.76,28259,11.69,0.19
"31",78.28,72.26,667,5.78,0.78,26.96,62.57,12.76,25,11.08,0.22,67.27,2323.5,66.57,0,8.97,0.06
"32",106.72,70.83,3070,2.8,3.55,0.12,67.71,10.95,29945,8.73,24.37,75.51,3608.7,75.33,122899,6.18,9.68
"33",14.98,93.15,529,3.28,2.6,1.46,62.69,11.8,1250,10.7,6.03,65.74,3353.7,70.4,0,9.34,1.53
"34",0,98.84,56,0.72,0.88,0.37,78.23,10.65,306,9.06,2.58,80.48,225.9,77.23,3929,7.33,0.49
"35",29.54,94.31,149,1.06,5.76,1.17,77.97,12.21,327,11.89,1.72,78.88,998.4,86.8,0,11.57,0.05
"36",50.6,88.57,248,2.51,0,0.24,67.82,16.32,976,14.31,8.16,70.31,2853.3,74.89,0,12.03,3.08
"37",447.33,46.59,1450,9.53,0.11,52.88,42.97,16.06,181,14.13,1.15,49.68,2134,49.82,0,11.55,0.43
"38",117.11,82.42,536,3.46,0.27,7.95,75.36,12.03,1672,9.94,7.18,82.9,1641.4,80.68,23302,8.43,2.38
"39",148.31,39.76,5134,12.32,0.24,59.63,42.18,14.97,250,13.52,0.55,52.47,1672.6,54.33,0,11.72,0.25
"40",85.06,91.3,91,0.58,3.98,0.94,81.21,12.87,3283,11.26,12.55,82.5,4486.8,77.66,26167,9.48,3.19
"41",43.14,78.81,1223,1.9,0.68,4.8,70.45,13.83,4542,12.12,5.38,74.97,1702.6,76.93,84474,10.22,1.6
"42",78.84,94.08,1047,4.37,1.91,5.26,64.74,13.8,398,12.63,1.44,66.86,3513.5,70.4,27623,11.23,0.13
"43",607.12,51.25,7538,12.73,0.9,42.2,41.73,19.81,1641,17.89,2.31,46.61,3434.7,52.16,71166,15.75,0.76
"44",288.42,54.68,3651,8.21,1.63,44.58,59.27,11.88,433,11,0.83,67.53,125.8,67.93,39076,9.99,0.32
"45",137.7,62.7,1100,7.8,0,36.84,53.26,15.14,142,13.39,0.88,59.28,1423.7,64.04,0,11.15,0.4
"46",40.9,97.81,502,1.03,1.75,0.63,82.61,9,3133,7.69,4.71,84.22,2441,84.33,66473,6.22,0.79
"47",91.5,95.77,40,0.3,1.97,0.7,74.71,19.21,2587,16.9,11.17,76.69,2575.6,80.52,23170,14.7,3.56
"48",22.15,62.03,489,3.45,1.23,1.85,61.18,12.4,644,10.59,4.97,72.16,1345.2,72.71,0,8.53,1.05
"49",180.07,93.52,1184,2.5,0.59,2.72,75.93,12.84,2230,11.33,3.49,76.5,2539,74.53,63891,9.7,0.93
"50",12.1,98.63,177,1.42,1.69,0.31,79.48,10.57,158,9.66,1.02,79.12,1641.9,76.62,0,8.72,0.34
"51",9.29,99.39,112,0.67,0.23,0.09,72.93,13.59,49,12.75,0.26,76.53,616.9,75.02,0,11.78,0
"52",843.97,91.28,223,1.04,4.31,1.7,77.69,15.23,11133,12.23,34.82,75.73,5437.2,81.23,31971,8.33,14.54
"53",97.77,81.75,208,2.22,5.81,16.34,83.27,7.76,1522,6.2,10.29,83.94,7812.2,79.48,14790,4.4,2.13
"54",106.44,94.72,868,2.97,1.01,4.22,66.69,15.71,256,14.6,0.75,70.49,4102.3,76.39,0,13.31,0.24
"55",492.02,76.96,15969,6,3,19.7,58.92,15.15,9263,13.62,2.78,62.64,3988.5,65.53,332943,11.86,1.03
"56",753.74,53.52,138864,11.53,29.31,39.86,47.22,14.12,104814,12.53,6.61,53.45,11326,56.66,1585577,10.62,2.81
"57",31.46,92.78,355,0.7,12.27,2.08,84.77,7.62,10758,6.41,13.03,84.76,4413,84.44,82585,4.92,4.16
"58",74.45,95.13,276,1.18,0.77,3.52,74.95,11.99,1797,10.31,6.05,76.18,1137.7,78.71,29721,8.39,0.83
"59",159.32,72.45,2858,5.88,3.33,26.41,59.7,12.67,1108,11.25,1.68,64,1290.5,69.8,66049,9.43,0.85
"60",61.34,81.71,567,3.9,0.24,17.14,74.47,11.35,389,9.11,1.78,76.53,885.5,77.03,21847,6.55,1.04
"61",449.74,65.09,1821,7.89,0.88,34.26,49.67,14.14,182,12.75,0.7,56.04,2042.4,59.42,26184,10.91,0.16
"62",118.34,87.21,1198,1.78,1.22,5.83,74.52,15.87,4731,13.21,4.66,77.5,2286.9,75.71,101484,10.29,2.08
